Timestamp,Raw,Attention,Meditation,delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma
,,,,,,,,,,,
2022-03-06T21:39:59.043583,-161,64,57,1708989,840922,233402,322115,737035,326952,117121,19735
,,,,,,,,,,,
2022-03-06T21:39:59.555524,-141,47,60,1574876,322074,36758,47424,61867,49354,20921,6651
,,,,,,,,,,,
2022-03-06T21:40:00.067464,65,47,60,1574876,322074,36758,47424,61867,49354,20921,6651
,,,,,,,,,,,
2022-03-06T21:40:00.579404,211,51,63,1866673,399579,56760,65487,51013,126173,81724,6744
,,,,,,,,,,,
2022-03-06T21:40:01.091344,-875,51,63,1866673,399579,56760,65487,51013,126173,81724,6744
,,,,,,,,,,,
2022-03-06T21:40:01.603285,-41,44,61,1146411,103550,33143,102125,147935,57367,43654,8868
,,,,,,,,,,,
2022-03-06T21:40:02.115225,119,17,66,569243,151024,65604,37758,29315,29784,10550,3860
,,,,,,,,,,,
2022-03-06T21:40:02.627164,216,17,66,569243,151024,65604,37758,29315,29784,10550,3860
,,,,,,,,,,,
2022-03-06T21:40:03.139105,320,60,61,893694,17151,1392,8670,28164,30716,4422,1205
,,,,,,,,,,,
2022-03-06T21:40:03.651045,-769,60,61,893694,17151,1392,8670,28164,30716,4422,1205
,,,,,,,,,,,
2022-03-06T21:40:04.162984,18,37,70,1168253,43873,16476,17705,10214,9909,4705,582
,,,,,,,,,,,
2022-03-06T21:40:04.674925,633,37,70,1168253,43873,16476,17705,10214,9909,4705,582
,,,,,,,,,,,
2022-03-06T21:40:05.186865,84,40,70,1013476,26190,23624,21923,33887,42840,6575,628
,,,,,,,,,,,
2022-03-06T21:40:05.698805,230,40,70,1013476,26190,23624,21923,33887,42840,6575,628
,,,,,,,,,,,
2022-03-06T21:40:06.210744,-472,61,70,792423,28196,15651,15117,11625,23404,7106,1663
,,,,,,,,,,,
2022-03-06T21:40:06.722685,11,61,70,792423,28196,15651,15117,11625,23404,7106,1663
,,,,,,,,,,,
2022-03-06T21:40:07.234625,163,29,75,2626300,522045,26928,103351,168087,132712,69240,6587
,,,,,,,,,,,
2022-03-06T21:40:07.746565,-20,29,75,2626300,522045,26928,103351,168087,132712,69240,6587
,,,,,,,,,,,
2022-03-06T21:40:08.258505,361,50,69,1392640,98224,10491,76439,65665,63273,21723,5590
,,,,,,,,,,,
2022-03-06T21:40:08.770445,-889,50,69,1392640,98224,10491,76439,65665,63273,21723,5590
,,,,,,,,,,,
2022-03-06T21:40:09.282385,-35,20,64,1531792,367012,110153,43865,111685,39219,13077,7636
,,,,,,,,,,,
2022-03-06T21:40:09.794324,45,20,64,1531792,367012,110153,43865,111685,39219,13077,7636
,,,,,,,,,,,
2022-03-06T21:40:10.306265,38,4,60,1078399,332198,80631,51541,69931,54796,42500,8033
,,,,,,,,,,,
2022-03-06T21:40:10.818205,323,4,60,1078399,332198,80631,51541,69931,54796,42500,8033
,,,,,,,,,,,
2022-03-06T21:40:11.330146,-642,17,69,125996,61615,20548,29865,16326,40755,5843,1191
,,,,,,,,,,,
2022-03-06T21:40:11.842085,137,17,69,125996,61615,20548,29865,16326,40755,5843,1191
,,,,,,,,,,,
2022-03-06T21:40:12.354026,418,21,66,1398294,300796,61418,76461,76814,136994,40417,6413
,,,,,,,,,,,
2022-03-06T21:40:12.865965,116,21,66,1398294,300796,61418,76461,76814,136994,40417,6413
,,,,,,,,,,,
2022-03-06T21:40:13.377905,416,34,77,981313,33674,9630,32789,14237,11241,8608,2372
,,,,,,,,,,,
2022-03-06T21:40:13.889846,-833,34,77,981313,33674,9630,32789,14237,11241,8608,2372
,,,,,,,,,,,
2022-03-06T21:40:14.401786,214,38,84,1484678,153980,118288,108581,117629,59642,28922,12590
,,,,,,,,,,,
2022-03-06T21:40:14.913725,11,38,84,1484678,153980,118288,108581,117629,59642,28922,12590
,,,,,,,,,,,
2022-03-06T21:40:15.425665,-78,30,83,1756847,897345,218465,373472,393548,350175,70515,20679
,,,,,,,,,,,
2022-03-06T21:40:15.937606,333,30,83,1756847,897345,218465,373472,393548,350175,70515,20679
,,,,,,,,,,,
2022-03-06T21:40:16.449546,-805,23,87,1031047,259169,50120,83410,39834,78332,55801,5988
,,,,,,,,,,,
2022-03-06T21:40:16.961486,-89,23,87,1031047,259169,50120,83410,39834,78332,55801,5988
,,,,,,,,,,,
2022-03-06T21:40:17.473425,73,20,74,813708,545394,63404,71832,106906,80546,95836,4860
,,,,,,,,,,,
2022-03-06T21:40:17.985366,145,20,74,813708,545394,63404,71832,106906,80546,95836,4860
,,,,,,,,,,,
2022-03-06T21:40:18.497305,256,20,74,312071,63376,16969,16920,11187,3833,2076,923
,,,,,,,,,,,
2022-03-06T21:40:19.009246,-1025,20,74,312071,63376,16969,16920,11187,3833,2076,923
,,,,,,,,,,,
2022-03-06T21:40:19.521186,-339,20,63,356213,138861,21110,32111,40552,29635,11552,2439
,,,,,,,,,,,
2022-03-06T21:40:20.033126,12,20,63,356213,138861,21110,32111,40552,29635,11552,2439
,,,,,,,,,,,
2022-03-06T21:40:20.545067,474,16,74,162937,15087,22927,19120,18054,11465,2971,1783
,,,,,,,,,,,
2022-03-06T21:40:21.057006,411,16,74,162937,15087,22927,19120,18054,11465,2971,1783
,,,,,,,,,,,
2022-03-06T21:40:21.568946,-458,21,84,155604,28330,26364,47174,11500,26316,16426,1796
,,,,,,,,,,,
2022-03-06T21:40:22.080886,306,21,84,155604,28330,26364,47174,11500,26316,16426,1796
,,,,,,,,,,,
2022-03-06T21:40:22.592827,104,26,100,800231,106898,75205,49805,37977,40334,22241,10360
,,,,,,,,,,,
2022-03-06T21:40:23.104767,-10,47,94,1593923,154932,40990,28439,103260,127112,18263,9362
,,,,,,,,,,,
2022-03-06T21:40:23.616707,137,47,94,1593923,154932,40990,28439,103260,127112,18263,9362
,,,,,,,,,,,
2022-03-06T21:40:24.129147,-666,47,83,1834683,445318,45786,179728,141208,125930,18823,8302
,,,,,,,,,,,
2022-03-06T21:40:24.641087,150,47,83,1834683,445318,45786,179728,141208,125930,18823,8302
,,,,,,,,,,,
2022-03-06T21:40:25.153027,329,34,66,664463,366454,52601,78894,112911,53082,21594,6108
,,,,,,,,,,,
2022-03-06T21:40:25.664967,165,34,66,664463,366454,52601,78894,112911,53082,21594,6108
,,,,,,,,,,,
2022-03-06T21:40:26.176907,215,23,51,892737,498452,6434,101413,94010,56198,45669,4052
,,,,,,,,,,,
2022-03-06T21:40:26.688848,-924,23,51,892737,498452,6434,101413,94010,56198,45669,4052
,,,,,,,,,,,
2022-03-06T21:40:27.200788,400,1,54,1083831,95370,2698,29544,17472,16952,8917,2337
,,,,,,,,,,,
2022-03-06T21:40:27.712727,153,1,54,1083831,95370,2698,29544,17472,16952,8917,2337
,,,,,,,,,,,
2022-03-06T21:40:28.224667,99,4,57,582625,222382,71524,112003,102236,91096,29841,18373
,,,,,,,,,,,
2022-03-06T21:40:28.736608,150,4,57,582625,222382,71524,112003,102236,91096,29841,18373
,,,,,,,,,,,
2022-03-06T21:40:29.248548,-810,21,54,891701,73447,2188,23827,32952,30716,3142,2698
,,,,,,,,,,,
2022-03-06T21:40:29.760488,451,21,54,891701,73447,2188,23827,32952,30716,3142,2698
,,,,,,,,,,,
2022-03-06T21:40:30.272427,75,34,69,1165824,616801,381020,970818,960376,404715,181254,46556
,,,,,,,,,,,
2022-03-06T21:40:30.784368,232,34,69,1165824,616801,381020,970818,960376,404715,181254,46556
,,,,,,,,,,,
2022-03-06T21:40:31.296308,172,47,80,330820,98152,84206,42133,41083,69717,24262,10651
,,,,,,,,,,,
2022-03-06T21:40:31.808248,-628,47,80,330820,98152,84206,42133,41083,69717,24262,10651
,,,,,,,,,,,
2022-03-06T21:40:32.320188,121,47,84,1188779,178017,136285,138519,114475,109836,12543,6154
,,,,,,,,,,,
2022-03-06T21:40:32.832128,186,47,84,1188779,178017,136285,138519,114475,109836,12543,6154
,,,,,,,,,,,
2022-03-06T21:40:33.344068,153,51,90,1400630,72492,30100,49013,113105,68632,34793,5888
,,,,,,,,,,,
2022-03-06T21:40:33.856008,439,51,90,1400630,72492,30100,49013,113105,68632,34793,5888
,,,,,,,,,,,
