Timestamp,Raw,Attention,Meditation,delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma
,,,,,,,,,,,
2022-03-09T13:03:06.426725,51,40,69,910999,217348,109650,184998,49247,146706,17211,3529
,,,,,,,,,,,
2022-03-09T13:03:06.938666,17,51,91,1177506,93694,87702,43037,57101,67238,7033,3447
,,,,,,,,,,,
2022-03-09T13:03:07.450606,-97,51,91,1177506,93694,87702,43037,57101,67238,7033,3447
,,,,,,,,,,,
2022-03-09T13:03:07.962546,196,43,88,1667525,433797,44808,123890,74142,95031,19351,6281
,,,,,,,,,,,
2022-03-09T13:03:08.474486,445,43,88,1667525,433797,44808,123890,74142,95031,19351,6281
,,,,,,,,,,,
2022-03-09T13:03:08.986425,80,63,93,570466,36243,25258,9308,19723,25209,6427,1130
,,,,,,,,,,,
2022-03-09T13:03:09.498366,-54,61,54,1468032,250869,46761,16714,46204,87696,17637,3075
,,,,,,,,,,,
2022-03-09T13:03:10.010306,32,61,54,1468032,250869,46761,16714,46204,87696,17637,3075
,,,,,,,,,,,
2022-03-09T13:03:10.522246,538,51,16,834426,424155,38988,37331,62576,109281,5863,2987
,,,,,,,,,,,
2022-03-09T13:03:11.034186,435,51,16,834426,424155,38988,37331,62576,109281,5863,2987
,,,,,,,,,,,
2022-03-09T13:03:11.546126,134,44,24,2129168,339587,101190,64094,80612,58689,12052,10862
,,,,,,,,,,,
2022-03-09T13:03:12.058066,168,44,24,2129168,339587,101190,64094,80612,58689,12052,10862
,,,,,,,,,,,
2022-03-09T13:03:12.570006,44,29,24,2149816,348425,167807,123404,223262,121659,11913,8163
,,,,,,,,,,,
2022-03-09T13:03:13.081946,212,29,24,2149816,348425,167807,123404,223262,121659,11913,8163
,,,,,,,,,,,
2022-03-09T13:03:13.593887,477,21,61,1201262,49045,101182,41820,81592,34947,33930,16870
,,,,,,,,,,,
2022-03-09T13:03:14.105826,106,21,61,1201262,49045,101182,41820,81592,34947,33930,16870
,,,,,,,,,,,
2022-03-09T13:03:14.617767,139,21,61,877100,49294,19268,19715,8709,9530,1796,1197
,,,,,,,,,,,
2022-03-09T13:03:15.129707,43,21,61,877100,49294,19268,19715,8709,9530,1796,1197
,,,,,,,,,,,
2022-03-09T13:03:15.641646,381,38,84,536426,69566,20979,47371,67767,58203,18030,3641
,,,,,,,,,,,
2022-03-09T13:03:16.153587,344,38,84,536426,69566,20979,47371,67767,58203,18030,3641
,,,,,,,,,,,
2022-03-09T13:03:16.665527,27,66,88,528333,35211,24432,12581,24909,24568,5369,1442
,,,,,,,,,,,
2022-03-09T13:03:17.177466,64,66,88,528333,35211,24432,12581,24909,24568,5369,1442
,,,,,,,,,,,
2022-03-09T13:03:17.689406,129,63,100,78209,17455,24471,46101,12555,14887,3577,1375
,,,,,,,,,,,
2022-03-09T13:03:18.201347,354,63,100,78209,17455,24471,46101,12555,14887,3577,1375
,,,,,,,,,,,
2022-03-09T13:03:18.713287,519,83,75,2014281,152646,24835,83836,82249,115777,18784,7067
,,,,,,,,,,,
2022-03-09T13:03:19.225228,-106,83,75,2014281,152646,24835,83836,82249,115777,18784,7067
,,,,,,,,,,,
2022-03-09T13:03:19.737167,121,63,64,1659812,431392,96700,79658,55253,121234,10934,4661
,,,,,,,,,,,
2022-03-09T13:03:20.249107,-114,63,64,1659812,431392,96700,79658,55253,121234,10934,4661
,,,,,,,,,,,
2022-03-09T13:03:20.761047,227,50,57,759254,235354,86170,49740,49200,71852,22151,6898
,,,,,,,,,,,
2022-03-09T13:03:21.272987,467,50,57,759254,235354,86170,49740,49200,71852,22151,6898
,,,,,,,,,,,
2022-03-09T13:03:21.784927,-148,57,26,714540,428729,86334,68089,111515,136367,50471,4272
,,,,,,,,,,,
2022-03-09T13:03:22.296867,169,57,26,714540,428729,86334,68089,111515,136367,50471,4272
,,,,,,,,,,,
2022-03-09T13:03:22.808807,60,53,38,1215856,96763,59781,152530,135634,108155,17865,11345
,,,,,,,,,,,
2022-03-09T13:03:23.320747,545,53,38,1215856,96763,59781,152530,135634,108155,17865,11345
,,,,,,,,,,,
2022-03-09T13:03:23.832688,294,53,26,964734,352361,54618,14032,66879,76670,9891,3740
,,,,,,,,,,,
2022-03-09T13:03:24.344627,-231,53,26,964734,352361,54618,14032,66879,76670,9891,3740
,,,,,,,,,,,
2022-03-09T13:03:24.856568,197,37,29,723132,361781,57569,155852,45995,41595,12563,15560
,,,,,,,,,,,
2022-03-09T13:03:25.368507,-85,37,29,723132,361781,57569,155852,45995,41595,12563,15560
,,,,,,,,,,,
2022-03-09T13:03:25.880448,377,29,54,235908,7015,4890,9851,4569,3394,1627,455
,,,,,,,,,,,
2022-03-09T13:03:26.392388,378,29,54,235908,7015,4890,9851,4569,3394,1627,455
,,,,,,,,,,,
2022-03-09T13:03:26.904328,52,11,41,1556144,325617,112991,17018,63436,62462,20862,6664
,,,,,,,,,,,
2022-03-09T13:03:27.416268,160,11,41,1556144,325617,112991,17018,63436,62462,20862,6664
,,,,,,,,,,,
2022-03-09T13:03:27.928208,103,23,63,697801,26976,16171,8801,10452,13898,5734,448
,,,,,,,,,,,
2022-03-09T13:03:28.440148,498,23,63,697801,26976,16171,8801,10452,13898,5734,448
,,,,,,,,,,,
2022-03-09T13:03:28.952088,412,60,50,2295339,108808,13682,57127,120557,67236,17212,6431
,,,,,,,,,,,
2022-03-09T13:03:29.464028,-54,60,50,2295339,108808,13682,57127,120557,67236,17212,6431
,,,,,,,,,,,
2022-03-09T13:03:29.975968,253,56,30,3137263,2081096,522162,648429,739620,439790,39040,34427
,,,,,,,,,,,
2022-03-09T13:03:30.487908,-59,56,30,1037503,501429,175777,72262,33645,25341,13464,6710
,,,,,,,,,,,
2022-03-09T13:03:30.999848,291,56,30,1037503,501429,175777,72262,33645,25341,13464,6710
,,,,,,,,,,,
2022-03-09T13:03:31.511788,456,70,37,1706867,220905,64781,87778,72493,102252,17541,3364
,,,,,,,,,,,
2022-03-09T13:03:32.023728,-75,70,37,1706867,220905,64781,87778,72493,102252,17541,3364
,,,,,,,,,,,
2022-03-09T13:03:32.535668,8,67,16,946490,188338,13472,33857,31650,53814,16273,9840
,,,,,,,,,,,
2022-03-09T13:03:33.047608,230,67,16,946490,188338,13472,33857,31650,53814,16273,9840
,,,,,,,,,,,
2022-03-09T13:03:33.559549,435,67,26,194931,25573,9713,11036,13184,16450,4245,1350
,,,,,,,,,,,
2022-03-09T13:03:34.071488,425,67,26,194931,25573,9713,11036,13184,16450,4245,1350
,,,,,,,,,,,
2022-03-09T13:03:34.583428,124,74,44,159375,36221,66857,6681,12980,20339,6110,3651
,,,,,,,,,,,
2022-03-09T13:03:35.095369,169,74,44,159375,36221,66857,6681,12980,20339,6110,3651
,,,,,,,,,,,
2022-03-09T13:03:35.607308,233,83,43,1565265,111644,58845,50149,147226,93705,21408,6072
,,,,,,,,,,,
2022-03-09T13:03:36.119249,386,83,43,1565265,111644,58845,50149,147226,93705,21408,6072
,,,,,,,,,,,
2022-03-09T13:03:36.631189,361,66,63,539306,172549,56908,69814,24433,35467,23106,1909
,,,,,,,,,,,
2022-03-09T13:03:37.143129,-121,66,63,539306,172549,56908,69814,24433,35467,23106,1909
,,,,,,,,,,,
2022-03-09T13:03:37.655069,120,38,70,1334387,526741,165156,287411,73911,106178,30308,5974
,,,,,,,,,,,
2022-03-09T13:03:38.167009,85,38,70,1334387,526741,165156,287411,73911,106178,30308,5974
,,,,,,,,,,,
2022-03-09T13:03:38.678949,466,37,66,1226805,231433,190079,67028,31751,87612,7893,6146
,,,,,,,,,,,
2022-03-09T13:03:39.190889,188,37,66,1226805,231433,190079,67028,31751,87612,7893,6146
,,,,,,,,,,,
2022-03-09T13:03:39.702829,-217,30,69,1046025,129402,40119,49934,29790,69848,5239,2368
,,,,,,,,,,,
2022-03-09T13:03:40.214769,262,30,69,1046025,129402,40119,49934,29790,69848,5239,2368
,,,,,,,,,,,
2022-03-09T13:03:40.726709,36,37,60,790796,366100,99863,119179,248722,88551,14456,4301
,,,,,,,,,,,
2022-03-09T13:03:41.238649,614,37,60,790796,366100,99863,119179,248722,88551,14456,4301
,,,,,,,,,,,
2022-03-09T13:03:41.750589,457,38,37,498334,80211,6473,11399,18772,11397,6496,927
,,,,,,,,,,,
2022-03-09T13:03:42.262529,18,38,37,498334,80211,6473,11399,18772,11397,6496,927
,,,,,,,,,,,
2022-03-09T13:03:42.774470,5,37,10,833534,664481,55180,87940,106170,115802,26362,13270
,,,,,,,,,,,
2022-03-09T13:03:43.286409,83,37,10,833534,664481,55180,87940,106170,115802,26362,13270
,,,,,,,,,,,
2022-03-09T13:03:43.798349,391,21,14,492914,21309,8290,8496,4814,6236,4273,4678
,,,,,,,,,,,
2022-03-09T13:03:44.310289,566,21,14,492914,21309,8290,8496,4814,6236,4273,4678
,,,,,,,,,,,
2022-03-09T13:03:44.822230,43,48,10,298214,61255,16241,24254,53322,51020,5499,2631
,,,,,,,,,,,
2022-03-09T13:03:45.334169,119,48,10,298214,61255,16241,24254,53322,51020,5499,2631
,,,,,,,,,,,
2022-03-09T13:03:45.846109,38,50,29,1855393,229682,64463,138580,111523,54242,24027,4879
,,,,,,,,,,,
2022-03-09T13:03:46.358050,333,50,29,1855393,229682,64463,138580,111523,54242,24027,4879
,,,,,,,,,,,
2022-03-09T13:03:46.869989,579,50,29,790192,49309,51210,23610,7811,11841,3297,1204
,,,,,,,,,,,
2022-03-09T13:03:47.381930,118,50,29,790192,49309,51210,23610,7811,11841,3297,1204
,,,,,,,,,,,
2022-03-09T13:03:47.893869,100,35,54,1931819,708232,629003,199736,297450,97239,27105,22024
,,,,,,,,,,,
2022-03-09T13:03:48.405811,102,35,54,1931819,708232,629003,199736,297450,97239,27105,22024
,,,,,,,,,,,
2022-03-09T13:03:48.917750,353,56,51,555985,14033,9936,11226,17693,15004,5651,1088
,,,,,,,,,,,
2022-03-09T13:03:49.429690,483,56,51,555985,14033,9936,11226,17693,15004,5651,1088
,,,,,,,,,,,
2022-03-09T13:03:49.941630,118,37,57,1072119,259600,26218,113919,95743,70463,21262,6546
,,,,,,,,,,,
2022-03-09T13:03:50.453570,83,37,57,1072119,259600,26218,113919,95743,70463,21262,6546
,,,,,,,,,,,
2022-03-09T13:03:50.965511,-33,40,51,583349,44136,21445,4250,11889,9484,4249,2143
,,,,,,,,,,,
2022-03-09T13:03:51.477450,364,57,53,543505,158137,117548,90256,43038,57570,28239,4677
,,,,,,,,,,,
2022-03-09T13:03:51.989390,532,57,53,543505,158137,117548,90256,43038,57570,28239,4677
,,,,,,,,,,,
2022-03-09T13:03:52.501330,205,57,53,543505,158137,117548,90256,43038,57570,28239,4677
,,,,,,,,,,,
