Timestamp,Raw,Attention,Meditation,delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma
2022-03-05T22:05:42.581454,66,34,54,905353,230619,136092,79909,79389,93681,19258,4872
2022-03-05T22:05:43.093393,121,56,54,961922,98306,24159,37371,83461,70743,9252,4458
2022-03-05T22:05:43.605332,39,56,54,961922,98306,24159,37371,83461,70743,9252,4458
2022-03-05T22:05:44.117273,201,56,54,1106050,63494,44087,35803,14154,35062,3500,1379
2022-03-05T22:05:44.629213,214,56,54,1106050,63494,44087,35803,14154,35062,3500,1379
2022-03-05T22:05:45.141153,-9,80,51,1684520,117580,39713,26879,110324,80608,12663,4674
2022-03-05T22:05:45.653093,67,75,66,558709,47545,20318,4714,18585,8270,3097,787
2022-03-05T22:05:46.165033,157,75,66,558709,47545,20318,4714,18585,8270,3097,787
2022-03-05T22:05:46.676973,296,83,35,491327,212037,21083,41779,55547,73563,7955,2808
2022-03-05T22:05:47.188913,293,83,35,491327,212037,21083,41779,55547,73563,7955,2808
2022-03-05T22:05:47.700853,185,41,60,1118875,213822,106320,92779,36469,37652,13501,10171
2022-03-05T22:05:48.212794,140,41,60,1118875,213822,106320,92779,36469,37652,13501,10171
2022-03-05T22:05:48.724733,-49,41,69,49289,13286,6707,13569,20440,20320,5311,1066
2022-03-05T22:05:49.236673,100,41,69,49289,13286,6707,13569,20440,20320,5311,1066
2022-03-05T22:05:49.748614,194,44,54,1025352,180828,8431,51998,62057,30929,9695,3100
2022-03-05T22:05:50.260554,55,44,54,1025352,180828,8431,51998,62057,30929,9695,3100
2022-03-05T22:05:50.771992,125,44,47,862005,166987,14446,28196,51130,62852,8760,3725
2022-03-05T22:05:51.283933,101,44,47,862005,166987,14446,28196,51130,62852,8760,3725
2022-03-05T22:05:51.795873,198,53,47,1243285,140945,192182,126887,117379,64310,11254,4840
2022-03-05T22:05:52.307813,354,53,47,1243285,140945,192182,126887,117379,64310,11254,4840
2022-03-05T22:05:52.819753,352,37,24,443307,253809,24316,40004,54662,84053,6206,2368
