Timestamp,Raw,Attention,Meditation,delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma
2022-03-09T20:55:46.218569,326,41,53,295682,24465,26504,15682,15585,12412,3619,1752
2022-03-09T20:55:46.730510,84,53,47,1613476,758449,109329,271264,256272,318778,12353,12596
2022-03-09T20:55:47.242450,-187,53,47,1613476,758449,109329,271264,256272,318778,12353,12596
2022-03-09T20:55:47.754390,60,47,27,1093020,716652,12995,44545,47202,82428,26716,5531
2022-03-09T20:55:48.266330,371,47,27,1093020,716652,12995,44545,47202,82428,26716,5531
2022-03-09T20:55:48.778270,343,53,16,111590,126093,5965,13121,14671,30611,3403,1116
2022-03-09T20:55:49.290209,117,53,16,111590,126093,5965,13121,14671,30611,3403,1116
2022-03-09T20:55:49.802150,23,53,7,807610,295740,63998,99612,88417,88958,27235,1922
2022-03-09T20:55:50.314090,36,43,10,2043230,605849,94356,36295,90463,119330,9823,4752
2022-03-09T20:55:50.826029,262,43,10,2043230,605849,94356,36295,90463,119330,9823,4752
2022-03-09T20:55:51.337970,455,48,43,199027,385287,321083,115846,69016,114455,12871,6323
2022-03-09T20:55:51.849910,211,48,43,199027,385287,321083,115846,69016,114455,12871,6323
2022-03-09T20:55:52.361850,101,38,56,151725,89688,14517,15645,5497,15703,1632,892
2022-03-09T20:55:52.873791,27,38,56,151725,89688,14517,15645,5497,15703,1632,892
2022-03-09T20:55:53.385730,374,17,51,579820,1000498,130065,165041,109792,85891,21212,9375
2022-03-09T20:55:53.897170,317,17,51,579820,1000498,130065,165041,109792,85891,21212,9375
2022-03-09T20:55:54.409110,177,17,66,1019544,57711,28017,19873,22146,15723,5023,1172
2022-03-09T20:55:54.921050,51,17,66,1019544,57711,28017,19873,22146,15723,5023,1172
2022-03-09T20:55:55.432989,61,26,43,1839689,177060,23007,17083,25576,46634,19044,3240
2022-03-09T20:55:55.944931,352,26,43,1839689,177060,23007,17083,25576,46634,19044,3240
2022-03-09T20:55:56.456870,372,11,38,604278,391218,61920,41333,36532,33481,13322,3135
2022-03-09T20:55:56.968821,93,11,38,604278,391218,61920,41333,36532,33481,13322,3135
2022-03-09T20:55:57.480762,128,47,37,212908,181343,36433,50346,105846,113955,16962,6348
2022-03-09T20:55:57.992701,-25,47,37,212908,181343,36433,50346,105846,113955,16962,6348
2022-03-09T20:55:58.504641,362,61,34,1149266,231067,123604,95454,207944,142929,45333,11125
2022-03-09T20:55:59.016581,268,61,34,1149266,231067,123604,95454,207944,142929,45333,11125
2022-03-09T20:55:59.528522,68,61,34,873102,57970,31695,26532,34428,20832,10080,2416
2022-03-09T20:56:00.040461,280,61,34,873102,57970,31695,26532,34428,20832,10080,2416
2022-03-09T20:56:00.552402,-11,74,51,524260,25126,16686,13878,8633,20781,3584,2408
2022-03-09T20:56:01.064342,321,74,51,524260,25126,16686,13878,8633,20781,3584,2408
2022-03-09T20:56:01.576282,213,100,51,571967,25967,3877,6700,10545,11002,7062,529
2022-03-09T20:56:02.088222,425,100,51,571967,25967,3877,6700,10545,11002,7062,529
2022-03-09T20:56:02.600161,156,91,54,68916,85887,19065,18321,36147,29882,6371,425
2022-03-09T20:56:03.112102,115,91,54,68916,85887,19065,18321,36147,29882,6371,425
2022-03-09T20:56:03.624042,354,75,70,253424,6162,7827,5818,3198,2701,677,309
2022-03-09T20:56:04.135981,295,75,70,253424,6162,7827,5818,3198,2701,677,309
2022-03-09T20:56:04.647922,22,60,61,232558,39723,10749,7722,15666,11114,6013,1612
2022-03-09T20:56:05.159862,40,60,61,232558,39723,10749,7722,15666,11114,6013,1612
2022-03-09T20:56:05.671802,4,40,67,3145447,216129,57590,48558,26072,35182,21331,6079
2022-03-09T20:56:06.183742,388,40,67,3145447,216129,57590,48558,26072,35182,21331,6079
2022-03-09T20:56:06.695682,422,50,70,570860,184559,24573,92220,77139,120942,18475,4558
2022-03-09T20:56:07.207622,177,50,70,570860,184559,24573,92220,77139,120942,18475,4558
2022-03-09T20:56:07.719562,103,75,51,1292429,96112,17434,54250,86211,74724,14752,6577
2022-03-09T20:56:08.231502,85,75,51,1292429,96112,17434,54250,86211,74724,14752,6577
2022-03-09T20:56:08.743443,553,56,53,473182,83010,12604,23673,18763,8591,3041,1432
2022-03-09T20:56:09.255382,324,56,53,473182,83010,12604,23673,18763,8591,3041,1432
2022-03-09T20:56:09.767323,83,63,60,1685519,43773,18079,32257,19160,15088,2960,726
2022-03-09T20:56:10.279263,6,41,50,1144850,53506,8403,1934,6504,8015,4212,946
2022-03-09T20:56:10.791203,106,41,50,1144850,53506,8403,1934,6504,8015,4212,946
2022-03-09T20:56:11.303143,353,16,51,1540073,1247142,383233,79711,157033,235727,93348,23327
2022-03-09T20:56:11.815083,389,16,51,1540073,1247142,383233,79711,157033,235727,93348,23327
2022-03-09T20:56:12.327024,198,44,48,1512622,40656,13084,5395,18873,17892,3791,1817
2022-03-09T20:56:12.838963,169,44,48,1512622,40656,13084,5395,18873,17892,3791,1817
2022-03-09T20:56:13.350902,-1,53,16,1209092,361121,6673,40316,128211,98920,6409,11244
2022-03-09T20:56:13.862843,477,53,16,1209092,361121,6673,40316,128211,98920,6409,11244
