Timestamp,Raw,Attention,Meditation,delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma
2022-07-30T17:33:56.062443,-378,50,61,1002911,95812,17781,127204,81605,56019,19581,4738
2022-07-30T17:33:56.572881,481,47,54,1518646,355997,25436,91617,99598,61242,6140,3346
2022-07-30T17:33:57.084820,409,47,54,1518646,355997,25436,91617,99598,61242,6140,3346
2022-07-30T17:33:57.596759,-65,44,78,1002635,25537,32816,6048,17293,12077,6461,1949
2022-07-30T17:33:58.108698,72,44,78,1002635,25537,32816,6048,17293,12077,6461,1949
2022-07-30T17:33:58.620637,20,24,67,418185,47959,6822,6287,7953,3831,2710,1090
2022-07-30T17:33:59.132577,241,29,53,2248974,246490,104178,127513,179270,178985,10518,7890
2022-07-30T17:33:59.644516,328,29,53,2248974,246490,104178,127513,179270,178985,10518,7890
2022-07-30T17:34:00.156455,243,26,53,1038289,80828,18195,9857,18763,12047,3862,919
2022-07-30T17:34:00.668394,26,26,53,1038289,80828,18195,9857,18763,12047,3862,919
2022-07-30T17:34:01.180333,147,24,27,938282,131063,21136,73887,165676,31805,10706,11810
2022-07-30T17:34:01.692272,241,24,27,938282,131063,21136,73887,165676,31805,10706,11810
2022-07-30T17:34:02.204211,488,38,20,1679739,226957,18960,22944,29695,67299,19938,10718
2022-07-30T17:34:02.716150,-19,38,20,1679739,226957,18960,22944,29695,67299,19938,10718
2022-07-30T17:34:03.228090,217,38,20,1077258,61942,20100,15177,8443,6550,1918,1089
2022-07-30T17:34:03.740029,217,38,20,1077258,61942,20100,15177,8443,6550,1918,1089
2022-07-30T17:34:04.251967,368,48,13,451223,93481,57900,59099,139522,204073,19098,3716
2022-07-30T17:34:04.763907,549,48,13,451223,93481,57900,59099,139522,204073,19098,3716
2022-07-30T17:34:05.275846,-27,53,13,241003,71973,2194,21178,10691,15233,1489,795
2022-07-30T17:34:05.787785,54,53,13,241003,71973,2194,21178,10691,15233,1489,795
2022-07-30T17:34:06.299724,-10,60,29,675966,125151,36628,88316,93819,67140,7025,8133
2022-07-30T17:34:06.811663,296,60,29,675966,125151,36628,88316,93819,67140,7025,8133
2022-07-30T17:34:07.323602,284,50,30,1427662,168986,2908,27622,14615,21090,20732,5167
2022-07-30T17:34:07.835541,198,50,30,1427662,168986,2908,27622,14615,21090,20732,5167
2022-07-30T17:34:08.347481,4,38,43,88107,18551,12108,11858,23746,11538,1993,1144
2022-07-30T17:34:08.859419,182,38,43,88107,18551,12108,11858,23746,11538,1993,1144
2022-07-30T17:34:09.371359,280,50,57,137994,7601,8310,3211,9843,12060,4086,865
2022-07-30T17:34:09.883298,437,50,57,137994,7601,8310,3211,9843,12060,4086,865
2022-07-30T17:34:10.395237,134,51,66,614199,141845,71466,173069,122465,109430,11774,4834
2022-07-30T17:34:10.907176,214,51,66,614199,141845,71466,173069,122465,109430,11774,4834
2022-07-30T17:34:11.419115,195,66,93,625854,113339,64250,44138,43973,109736,11563,2270
2022-07-30T17:34:11.931054,168,66,93,625854,113339,64250,44138,43973,109736,11563,2270
2022-07-30T17:34:12.442994,355,44,88,311760,171236,32687,28776,11158,4965,2404,2608
2022-07-30T17:34:12.954933,157,44,88,311760,171236,32687,28776,11158,4965,2404,2608
2022-07-30T17:34:13.466871,-24,43,94,831423,139988,37517,164992,133053,132698,24881,7394
2022-07-30T17:34:13.978811,115,43,94,831423,139988,37517,164992,133053,132698,24881,7394
2022-07-30T17:34:14.490750,394,51,83,335269,9596,7696,15781,18113,25376,2801,912
2022-07-30T17:34:15.002689,443,51,83,335269,9596,7696,15781,18113,25376,2801,912
